email,password,buyTime,buyResponse,ownIp,server,token
"skywalker23@email.com","skywalker23abc123","2026-01-15T03:42:13.251Z","{\"total\":100,\"totalWithIva\":116}","248.166.199.3","http://localhost:4003","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIyNTU3NzdhNS0zZGFmLTRkYmQtYmRmZS1hOTBlN2RiYjU3MjkiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0ODUzMywiZXhwIjoxNzY4NDQ5NDMzfQ.pRNAGpwHqtF-RAz_DrDN_8YTRcDdnskYq8EsRazgkXQ"
"skywalker23@email.comn","skywalker23abc123","2026-01-15T03:42:13.256Z","{\"total\":100,\"totalWithIva\":116}","204.124.117.90","http://localhost:4003","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJiMTliNmM1Mi05OTBjLTRiOWUtYjY3Mi03YTQyMmRjZDRlMGQiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzIsImV4cCI6MTc2ODQ0OTQzMn0.aU6rDWq8ZIFMdLBsosvSfg00BoDWvOwFRrTFxtnPK5w"
"pixel_panda@email.comn","pixel_pandaabc123","2026-01-15T03:42:13.264Z","Rate limit exceeded. Try again in 20 seconds.","17.46.251.72","http://localhost:4002","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI5NTIyMDcwOC05OGE0LTQ0NWEtODc2OS1kZTE3NzM1Y2ZjODQiLCJlbWFpbCI6InBpeGVsX3BhbmRhQGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzMsImV4cCI6MTc2ODQ0OTQzM30.ubj_ZD4W6eBW7RkOqc5O5l0ennToKpf1z0_NenKhQDw"
"nova_rider@email.comn","nova_riderabc123","2026-01-15T03:42:13.269Z","Rate limit exceeded. Try again in 20 seconds.","12.20.200.21","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI2NmM0ZjBhYy01MTQ0LTQwMWMtYTliYy1iNTM1YjY4ZWFlZmYiLCJlbWFpbCI6Im5vdmFfcmlkZXJAZW1haWwuY29tbiIsImlhdCI6MTc2ODQ0ODUzMywiZXhwIjoxNzY4NDQ5NDMzfQ.RHjJ5AAUHjIiGe7zq75o9XPB1gWBPtL6kqbES-PRieg"
"echo_blaze@email.comn","echo_blazeabc123","2026-01-15T03:42:13.275Z","{\"total\":100,\"totalWithIva\":116}","229.250.13.186","http://localhost:4003","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJkNzczMzgzMC0yNThjLTQ1MjgtYWQzMS03ODFhZmM0MmEwNjgiLCJlbWFpbCI6ImVjaG9fYmxhemVAZW1haWwuY29tbiIsImlhdCI6MTc2ODQ0ODUzMywiZXhwIjoxNzY4NDQ5NDMzfQ.Q-HwGy3EAmiJqYQkuvH_FoYxa8WOZqwVzVQGe2JhbxI"
"frostbyte7@email.comn","frostbyte7abc123","2026-01-15T03:42:13.280Z","{\"total\":100,\"totalWithIva\":116}","123.86.182.236","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIxZDVmMGUyZi1mODkzLTRmNzQtYWU4OS1jYTZjYzRlM2VkYzMiLCJlbWFpbCI6ImZyb3N0Ynl0ZTdAZW1haWwuY29tbiIsImlhdCI6MTc2ODQ0ODUzMywiZXhwIjoxNzY4NDQ5NDMzfQ.-Zxc2vI3O3NWq1ce-78Mdtejn6FEVUs0ZGRN4Hsfr2Q"
"luna_coder@email.comn","luna_coderabc123","2026-01-15T03:42:13.285Z","{\"total\":100,\"totalWithIva\":116}","239.166.214.114","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjYjY5NmU0NS02MGU0LTQzYzQtOTZiOC02ODNhNDQ4ZTYwN2MiLCJlbWFpbCI6Imx1bmFfY29kZXJAZW1haWwuY29tbiIsImlhdCI6MTc2ODQ0ODUzMiwiZXhwIjoxNzY4NDQ5NDMyfQ.Ioh8xhC_QIOY7M2GFqroK5lJMwTUtvAkHwR_ij-HAok"
"byte_bandit@email.comn","byte_banditabc123","2026-01-15T03:42:13.288Z","{\"total\":100,\"totalWithIva\":116}","88.80.237.21","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjZDZiYzVjNS01NzY4LTRhY2MtYjllOS01N2UxNDFiMWNiMTUiLCJlbWFpbCI6ImJ5dGVfYmFuZGl0QGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzMsImV4cCI6MTc2ODQ0OTQzM30.MSuMuhaAe2NUn5Bulo3PZDvGkTZNLg_DWvfhm8r_bZc"
"zenith_wave@email.comn","zenith_waveabc123","2026-01-15T03:42:13.292Z","{\"total\":100,\"totalWithIva\":116}","13.244.5.58","http://localhost:4002","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI4MGQyMjQ3Ni1mNTgwLTQ4ZjEtYmYwNS1iNTJhMDA1ZmIxN2MiLCJlbWFpbCI6Inplbml0aF93YXZlQGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzIsImV4cCI6MTc2ODQ0OTQzMn0.uCW8CVzgBLIxwn8m5iE6IArodYY7pTDESO3uPo6T4tU"
"cyber_owl@email.comn","cyber_owlabc123","2026-01-15T03:42:13.297Z","{\"total\":100,\"totalWithIva\":116}","151.229.243.46","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJlNDg5ZjhmNi0zN2UzLTQ5NzQtYTYxMi1hMTk5YmFhMDgyYTciLCJlbWFpbCI6ImN5YmVyX293bEBlbWFpbC5jb21uIiwiaWF0IjoxNzY4NDQ4NTMzLCJleHAiOjE3Njg0NDk0MzN9.RaXJtnGdXHT2c_0MHhbOliLGE06bTBIF6cQpAnb65MU"
"astro_knight@email.comn","astro_knightabc123","2026-01-15T03:42:13.304Z","Rate limit exceeded. Try again in 20 seconds.","144.91.186.244","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJiZDU0N2FiYi1hY2EwLTQ1MDUtODhlYS0xM2NlMDUwYzY1N2IiLCJlbWFpbCI6ImFzdHJvX2tuaWdodEBlbWFpbC5jb21uIiwiaWF0IjoxNzY4NDQ4NTMzLCJleHAiOjE3Njg0NDk0MzN9.KZGIPnNH1JbOb8Rq2YW-mgoh_yGYcftWPur2244PVQ4"
"shadow_mint@email.comn","shadow_mintabc123","2026-01-15T03:42:13.307Z","{\"total\":100,\"totalWithIva\":116}","40.76.5.181","http://localhost:4003","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI3NTRkOWRlOS1iZmY4LTQ3YmItOGFjNy05Y2M1Y2RiNGUwMmQiLCJlbWFpbCI6InNoYWRvd19taW50QGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzIsImV4cCI6MTc2ODQ0OTQzMn0.ZTx82lkSa0FuYQNQSmjrKVgbhxNtPWYd6Qf8OR6avMQ"
"neon_nimbus@email.comn","neon_nimbusabc123","2026-01-15T03:42:13.315Z","Rate limit exceeded. Try again in 20 seconds.","229.213.123.31","http://localhost:4001","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI0MTAzZGVhZC00OWVlLTQxZWQtODBjOS0wODY2M2ZjZTZhMzkiLCJlbWFpbCI6Im5lb25fbmltYnVzQGVtYWlsLmNvbW4iLCJpYXQiOjE3Njg0NDg1MzMsImV4cCI6MTc2ODQ0OTQzM30.H4fzzmOncaa8N17cksaCi8lqyZi27gPYGL0pZ19QIBM"
"quasar_fox@email.comn","quasar_foxabc123","2026-01-15T03:42:13.323Z","Rate limit exceeded. Try again in 20 seconds.","143.204.193.103","http://localhost:4003","eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiIxZTc1MTg5Mi04ZTRmLTQyOTItYmE2ZC0yYzEwMmVkM2U0YzAiLCJlbWFpbCI6InF1YXNhcl9mb3hAZW1haWwuY29tbiIsImlhdCI6MTc2ODQ0ODUzMywiZXhwIjoxNzY4NDQ5NDMzfQ.5zHs8kso1Xzjks9BnLtOGNHA7SCrJYBmH5d_QCpCXnI"
